,phrase,label,sentiment,subjectivity,language,count,geonames,geotype,latitude,longitude,country,ipcc
winter,winter,DATE,,,en,71,,,,,,
first,first,ORDINAL,,,en,69,,,,,,
Sunday,Sunday,DATE,,,en,30,,,,,,
2025,2025,DATE,,,en,27,,,,,,
Monday,Monday,DATE,,,en,26,,,,,,
Tuesday,Tuesday,DATE,,,en,16,,,,,,
Winter,Winter,DATE,0.08993506493506498,3.1819264069264066,en,15,,,,,,
one,one,CARDINAL,,,en,15,,,,,,
morning,morning,TIME,,,en,13,,,,,,
Today,Today,DATE,,,en,12,,,,,,
Canadian,Canadian,NORP,,,en,12,,,,,,
two,two,CARDINAL,,,en,12,,,,,,
Friday,Friday,DATE,,,en,12,,,,,,
Christmas,Christmas,DATE,,,en,12,,,,,,
season,season,DATE,,,en,11,,,,,,
today,today,DATE,,,en,11,,,,,,
One,One,CARDINAL,,,en,10,,,,,,
Saturday,Saturday,DATE,,,en,10,,,,,,
this weekend,this weekend,DATE,,,en,10,,,,,,
Americans,Americans,NORP,,,en,9,,,,,,
5,5,CARDINAL,,,en,9,,,,,,
three,three,CARDINAL,,,en,8,,,,,,
November,November,DATE,,,en,8,,,,,,
1,1,CARDINAL,,,en,8,,,,,,
this week,this week,DATE,,,en,8,,,,,,
10,10,CARDINAL,,,en,7,,,,,,
Australian,Australian,NORP,,,en,7,,,,,,
the weekend,the weekend,DATE,,,en,7,,,,,,
12,12,CARDINAL,,,en,7,,,,,,
23,23,CARDINAL,,,en,7,,,,,,
20,20,CARDINAL,,,en,7,,,,,,
night,night,TIME,,,en,7,,,,,,
First,First,ORDINAL,,,en,6,,,,,,
American,American,NORP,,,en,6,,,,,,
6,6,CARDINAL,,,en,6,,,,,,
4,4,CARDINAL,,,en,6,,,,,,
0%,0%,PERCENT,,,en,6,,,,,,
months,months,DATE,,,en,6,,,,,,
annual,annual,DATE,,,en,5,,,,,,
second,second,ORDINAL,,,en,5,,,,,,
North Star Cup,North Star Cup,EVENT,,,en,5,,,,,,
2,2,CARDINAL,,,en,5,,,,,,
British,British,NORP,,,en,5,,,,,,
the season,the season,DATE,,,en,5,,,,,,
7,7,CARDINAL,,,en,5,,,,,,
Halloween,Halloween,DATE,,,en,5,,,,,,
Thursday,Thursday,DATE,,,en,5,,,,,,
Black Friday,Black Friday,EVENT,,,en,5,,,,,,
3,3,CARDINAL,,,en,5,,,,,,
Canadians,Canadians,NORP,,,en,5,,,,,,
hours,hours,TIME,,,en,4,,,,,,
millions,millions,CARDINAL,,,en,4,,,,,,
afternoon,afternoon,TIME,,,en,4,,,,,,
summer,summer,DATE,,,en,4,,,,,,
next week,next week,DATE,,,en,4,,,,,,
thousands,thousands,CARDINAL,,,en,4,,,,,,
39,39,CARDINAL,,,en,4,,,,,,
the day,the day,DATE,,,en,4,,,,,,
Week 11,Week 11,DATE,,,en,4,,,,,,
Finnish,Finnish,NORP,,,en,4,,,,,,
13,13,CARDINAL,,,en,4,,,,,,
early Tuesday,early Tuesday,DATE,,,en,4,,,,,,
this year,this year,DATE,,,en,4,,,,,,
Wednesday,Wednesday,DATE,,,en,4,,,,,,
Thousands,Thousands,CARDINAL,,,en,3,,,,,,
237,237,CARDINAL,,,en,3,,,,,,
Millions,Millions,CARDINAL,,,en,3,,,,,,
Consent Framework,Consent Framework,WORK_OF_ART,,,en,3,,,,,,
8,8,CARDINAL,,,en,3,,,,,,
Rs 621 crore,Rs 621 crore,MONEY,,,en,3,,,,,,
daily,daily,DATE,,,en,3,,,,,,
days,days,DATE,,,en,3,,,,,,
2024,2024,DATE,,,en,3,,,,,,
106th,106th,ORDINAL,,,en,3,,,,,,
50%,50%,PERCENT,,,en,3,,,,,,
200W,200W,CARDINAL,,,en,3,,,,,,
Nov. 12,Nov. 12,DATE,,,en,3,,,,,,
two-thirds,two-thirds,CARDINAL,,,en,3,,,,,,
its third quarter 2025,its third quarter 2025,DATE,,,en,3,,,,,,
winters,winters,DATE,,,en,3,,,,,,
3rd season,3rd season,DATE,,,en,3,,,,,,
Antifa,Antifa,NORP,,,en,3,,,,,,
October,October,DATE,,,en,3,,,,,,
these days,these days,DATE,,,en,3,,,,,,
This year,This year,DATE,,,en,3,,,,,,
Chinese,Chinese,NORP,,,en,3,,,,,,
overnight,overnight,TIME,,,en,3,,,,,,
35,35,CARDINAL,,,en,3,,,,,,
Snow Drop,Snow Drop,WORK_OF_ART,,,en,3,,,,,,
tonight,tonight,TIME,,,en,3,,,,,,
1 p.m.,1 p.m.,TIME,,,en,3,,,,,,
this winter,this winter,DATE,,,en,3,,,,,,
2025-2026,2025-2026,DATE,,,en,3,,,,,,
last night,last night,TIME,,,en,3,,,,,,
VPN,VPN,PRODUCT,,,en,3,,,,,,
December,December,DATE,,,en,3,,,,,,
Winter Storm Warning,Winter Storm Warning,WORK_OF_ART,,,en,3,,,,,,
week,week,DATE,,,en,3,,,,,,
every day,every day,DATE,,,en,3,,,,,,
Germans,Germans,NORP,,,en,3,,,,,,
25%,25%,PERCENT,,,en,3,,,,,,
early-season,early-season,DATE,,,en,3,,,,,,
15 cm,15 cm,QUANTITY,,,en,3,,,,,,
Greek,Greek,NORP,,,en,3,,,,,,
years,years,DATE,,,en,3,,,,,,
Indian,Indian,NORP,,,en,3,,,,,,
Two,Two,CARDINAL,,,en,3,,,,,,
late Wednesday night,late Wednesday night,TIME,,,en,2,,,,,,
this morning,this morning,TIME,,,en,2,,,,,,
8 Inches,8 Inches,QUANTITY,,,en,2,,,,,,
1985,1985,DATE,,,en,2,,,,,,
Four,Four,CARDINAL,,,en,2,,,,,,
The Fine Print,The Fine Print,WORK_OF_ART,,,en,2,,,,,,
the year,the year,DATE,,,en,2,,,,,,
the 2025 season,the 2025 season,DATE,,,en,2,,,,,,
more than 80 million,more than 80 million,CARDINAL,,,en,2,,,,,,
Volvo 245,Volvo 245,LAW,,,en,2,,,,,,
eight consecutive years,eight consecutive years,DATE,,,en,2,,,,,,
hundreds,hundreds,CARDINAL,,,en,2,,,,,,
"60,000 pounds","60,000 pounds",QUANTITY,,,en,2,,,,,,
Michelin CrossClimate2,Michelin CrossClimate2,PRODUCT,,,en,2,,,,,,
at least 13,at least 13,CARDINAL,,,en,2,,,,,,
seven,seven,CARDINAL,,,en,2,,,,,,
19th-century,19th-century,DATE,,,en,2,,,,,,
April 2025,April 2025,DATE,,,en,2,,,,,,
early next week,early next week,DATE,,,en,2,,,,,,
early morning,early morning,TIME,,,en,2,,,,,,
Veterans,Veterans,NORP,,,en,2,,,,,,
Nov. 10,Nov. 10,DATE,,,en,2,,,,,,
60 degrees,60 degrees,QUANTITY,,,en,2,,,,,,
1st,1st,ORDINAL,,,en,2,,,,,,
35%,35%,PERCENT,,,en,2,,,,,,
3.5,3.5,CARDINAL,,,en,2,,,,,,
7 p.m.,7 p.m.,TIME,,,en,2,,,,,,
"Monday, Nov. 10","Monday, Nov. 10",DATE,,,en,2,,,,,,
53.03,53.03,CARDINAL,,,en,2,,,,,,
this Sunday,this Sunday,DATE,,,en,2,,,,,,
1-2 feet,1-2 feet,QUANTITY,,,en,2,,,,,,
15 centimetres,15 centimetres,QUANTITY,,,en,2,,,,,,
204,204,MONEY,,,en,2,,,,,,
1722,1722,CARDINAL,,,en,2,,,,,,
November 2025,November 2025,DATE,,,en,2,,,,,,
17,17,CARDINAL,,,en,2,,,,,,
TD Place Stadium,TD Place Stadium,FAC,,,en,2,,,,,,
11,11,CARDINAL,,,en,2,,,,,,
Nov. 9,Nov. 9,DATE,,,en,2,,,,,,
Greeks,Greeks,NORP,,,en,2,,,,,,
last week,last week,DATE,,,en,2,,,,,,
Kids Gift Guide,Kids Gift Guide,EVENT,,,en,2,,,,,,
the first 27 minutes,the first 27 minutes,TIME,,,en,2,,,,,,
World Film Festival,World Film Festival,EVENT,,,en,2,,,,,,
Vm,Vm,PRODUCT,,,en,2,,,,,,
third quarter,third quarter,DATE,,,en,2,,,,,,
Motorrad,Motorrad,PRODUCT,,,en,2,,,,,,
450,450,CARDINAL,,,en,2,,,,,,
Work Truck Solutions,Work Truck Solutions,WORK_OF_ART,,,en,2,,,,,,
GS,GS,PRODUCT,0.2681818181818182,0.4772727272727273,en,2,,,,,,
1969,1969,DATE,,,en,2,,,,,,
Up to,Up to,CARDINAL,,,en,2,,,,,,
over 5 cm,over 5 cm,QUANTITY,,,en,2,,,,,,
48,48,CARDINAL,,,en,2,,,,,,
Yankton Trail Park,Yankton Trail Park,FAC,,,en,2,,,,,,
"Sunday, Nov. 9","Sunday, Nov. 9",DATE,,,en,2,,,,,,
10 cm,10 cm,QUANTITY,,,en,2,,,,,,
next year,next year,DATE,,,en,2,,,,,,
38555,38555,CARDINAL,,,en,2,,,,,,
An early-season,An early-season,DATE,,,en,2,,,,,,
the Week,the Week,DATE,,,en,2,,,,,,
just $39.99,just $39.99,MONEY,,,en,2,,,,,,
199.99,199.99,MONEY,,,en,2,,,,,,
Three,Three,CARDINAL,,,en,2,,,,,,
Nov. 3,Nov. 3,DATE,,,en,2,,,,,,
April,April,DATE,,,en,2,,,,,,
1.5,1.5,CARDINAL,,,en,2,,,,,,
25801,25801,CARDINAL,,,en,2,,,,,,
the this year's,the this year's,DATE,,,en,2,,,,,,
Gunpowder,Gunpowder,PRODUCT,,,en,2,,,,,,
72 degrees,72 degrees,QUANTITY,,,en,2,,,,,,
|,|,DATE,,,en,2,,,,,,
10 to 15 mph,10 to 15 mph,QUANTITY,,,en,2,,,,,,
the past few days,the past few days,DATE,,,en,2,,,,,,
8 p.m.,8 p.m.,TIME,,,en,2,,,,,,
this evening,this evening,TIME,,,en,2,,,,,,
recent years,recent years,DATE,,,en,2,,,,,,
10 to 20 mph,10 to 20 mph,QUANTITY,,,en,2,,,,,,
Sunday night,Sunday night,TIME,,,en,2,,,,,,
Oct. 16,Oct. 16,DATE,,,en,2,,,,,,
Nov. 11,Nov. 11,DATE,,,en,2,,,,,,
October 19,October 19,DATE,,,en,2,,,,,,
Brits,Brits,NORP,,,en,2,,,,,,
the past week,the past week,DATE,,,en,2,,,,,,
29,29,CARDINAL,,,en,2,,,,,,
Muslim,Muslim,NORP,,,en,2,,,,,,
the September quarter,the September quarter,DATE,,,en,2,,,,,,
Rs 458 crore,Rs 458 crore,MONEY,,,en,2,,,,,,
the year ago period,the year ago period,DATE,,,en,2,,,,,,
more than a century,more than a century,DATE,,,en,2,,,,,,
Grand Junction,Grand Junction,FAC,,,en,2,,,,,,
the Shiva Temple,the Shiva Temple,FAC,,,en,2,,,,,,
fall day,fall day,DATE,,,en,2,,,,,,
Anker Power Station,Anker Power Station,FAC,,,en,2,,,,,,
21,21,MONEY,,,en,2,,,,,,
Third Quarter 2025,Third Quarter 2025,DATE,,,en,2,,,,,,
the early morning hours,the early morning hours,TIME,,,en,2,,,,,,
100,100,CARDINAL,,,en,2,,,,,,
The Fate of Ophelia,The Fate of Ophelia,WORK_OF_ART,,,en,2,,,,,,
Hudbay,Hudbay,WORK_OF_ART,0.0,0.0,en,2,,,,,,
2026,2026,DATE,,,en,2,,,,,,
Every month,Every month,DATE,,,en,2,,,,,,
